Outlet_ID,Outlet_Size,Cooler_Count,Outlet_Type
OUT_00072,Large,5.0,Bakery
OUT_00074,Large,5.0,Eatery
OUT_00075,small,0.0,Eatery
OUT_00076,Large,3.0,Pharmacy
OUT_00077,Medium,1.0,Bakery
OUT_00078,Extra Large,5.0,Eatery
OUT_00079,Extra Large,5.0,Kiosk
OUT_00080,Large,2.0,Grocery
OUT_00081,small,0.0,Grocery
OUT_00082,small,0.0,Kiosk
OUT_00083,small,1.0,Kiosk
OUT_00084,small,0.0,Kiosk
OUT_00085,Medium,1.0,Hotel
OUT_00086,Medium,1.0,Bakery
OUT_00087,Extra Large,2.0,Grocery
OUT_00088,small,1.0,Eatery
OUT_00089,small,0.0,Bakery
OUT_00090,Large,4.0,Bakery
OUT_00091,Medium,1.0,Hotel
OUT_00092,Large,4.0,Pharmacy
OUT_00093,small,0.0,Hotel
OUT_00094,Medium,2.0,Grocery
OUT_00095,small,1.0,Grocery
OUT_00096,Large,3.0,Hotel
OUT_00097,Medium,1.0,Eatery
OUT_00098,small,0.0,Pharmacy
OUT_00099,small,1.0,Pharmacy
OUT_00100,small,0.0,Eatery
OUT_00101,Extra Large,5.0,Bakery
OUT_00102,small,0.0,Hotel
OUT_00103,Large,5.0,Bakery
OUT_00104,Large,2.0,Hotel
OUT_00105,small,1.0,Bakery
OUT_00106,Large,2.0,Hotel
OUT_00107,small,0.0,Pharmacy
OUT_00108,Extra Large,2.0,SMMT
OUT_00109,small,0.0,Grocery
OUT_00110,small,1.0,Eatery
OUT_00111,small,0.0,Bakery
OUT_00112,Extra Large,3.0,Pharmacy
OUT_00113,small,1.0,Hotel
OUT_00114,small,0.0,Pharmacy
OUT_00115,small,1.0,Kiosk
OUT_00116,small,0.0,Bakery
OUT_00117,Large,3.0,Grocery
OUT_00118,Medium,2.0,Hotel
OUT_00119,small,0.0,SMMT
OUT_00120,Large,4.0,Bakery
OUT_00121,small,1.0,Eatery
OUT_00122,Medium,1.0,Grocery
OUT_00123,small,1.0,Bakery
OUT_00124,Medium,2.0,Pharmacy
OUT_00125,small,1.0,Grocery
OUT_00126,small,0.0,Eatery
OUT_00127,Medium,2.0,Bakery
OUT_00128,Large,4.0,SMMT
OUT_00129,Medium,1.0,Grocery
OUT_00130,small,0.0,Eatery
OUT_00131,Medium,2.0,Eatery
OUT_00132,Medium,2.0,Eatery
OUT_00133,small,0.0,Kiosk
OUT_00134,Extra Large,2.0,Grocery
OUT_00135,small,0.0,Pharmacy
OUT_00136,small,1.0,Bakery
OUT_00137,Large,5.0,Kiosk
OUT_00138,small,0.0,Bakery
OUT_00139,Medium,1.0,Hotel
OUT_00140,Medium,2.0,Grocery
OUT_00141,Medium,2.0,Pharmacy
OUT_00142,Medium,1.0,Pharmacy
OUT_00144,Medium,1.0,Grocery
OUT_00145,Medium,1.0,Grocery
OUT_00146,small,1.0,Grocery
OUT_00147,Medium,2.0,Kiosk
OUT_00148,Medium,2.0,Pharmacy
OUT_00149,Medium,2.0,Pharmacy
OUT_00150,Medium,2.0,SMMT
OUT_00151,small,1.0,SMMT
OUT_00152,small,0.0,Bakery
OUT_00153,Medium,2.0,Eatery
OUT_00154,small,1.0,Bakery
OUT_00155,Medium,1.0,SMMT
OUT_00156,Medium,1.0,Eatery
OUT_00157,small,0.0,Kiosk
OUT_00158,small,0.0,Hotel
OUT_00159,Medium,2.0,Bakery
OUT_00160,small,3.0,Pharmacy
OUT_00161,Medium,2.0,Hotel
OUT_00162,small,1.0,Kiosk
OUT_00163,Large,5.0,SMMT
OUT_00164,small,0.0,Pharmacy
OUT_00165,small,0.0,Eatery
OUT_00166,small,0.0,Bakery
OUT_00167,Medium,2.0,Kiosk
OUT_00168,small,0.0,Bakery
OUT_00169,Medium,1.0,Bakery
OUT_00170,small,0.0,Pharmacy
OUT_00171,Medium,2.0,Eatery
OUT_00172,Extra Large,2.0,Grocery
OUT_00173,Extra Large,2.0,SMMT
OUT_00174,small,1.0,Eatery
OUT_00175,small,1.0,Bakery
OUT_00176,Medium,2.0,Kiosk
OUT_00177,small,0.0,Hotel
OUT_00178,small,0.0,Kiosk
OUT_00179,Large,5.0,Grocery
OUT_00180,Medium,1.0,Pharmacy
OUT_00181,Medium,1.0,Eatery
OUT_00182,small,5.0,Kiosk
OUT_00183,small,0.0,Eatery
OUT_00185,Medium,1.0,Eatery
OUT_00186,small,0.0,Pharmacy
OUT_00187,small,1.0,Pharmacy
OUT_00188,small,1.0,Grocery
OUT_00189,Medium,1.0,Grocery
OUT_00190,small,0.0,Hotel
OUT_00191,Large,5.0,Hotel
OUT_00192,Medium,1.0,Eatery
OUT_00193,small,0.0,SMMT
OUT_00194,Medium,1.0,Eatery
OUT_00195,Medium,2.0,Eatery
OUT_00196,small,1.0,Hotel
OUT_00197,Medium,2.0,Bakery
OUT_00198,small,0.0,Bakery
OUT_00199,Large,2.0,Pharmacy
OUT_00200,Medium,1.0,Grocery
OUT_00201,Medium,2.0,Eatery
OUT_00202,Medium,2.0,Bakery
OUT_00203,small,1.0,Grocery
OUT_00204,Medium,2.0,Pharmacy
OUT_00205,Large,4.0,Eatery
OUT_00206,Large,5.0,SMMT
OUT_00207,small,1.0,SMMT
OUT_00208,Large,3.0,SMMT
OUT_00209,small,1.0,Bakery
OUT_00210,Medium,1.0,Grocery
OUT_00211,small,0.0,Eatery
OUT_00212,small,5.0,Bakery
OUT_00213,Large,3.0,Kiosk
OUT_00214,Extra Large,4.0,SMMT
OUT_00215,small,0.0,Hotel
OUT_00216,small,0.0,Kiosk
OUT_00217,small,0.0,Grocery
OUT_00218,small,1.0,Eatery
OUT_00219,Large,4.0,Grocery
OUT_00220,Large,2.0,Hotel
OUT_00221,Large,4.0,Pharmacy
OUT_00222,small,1.0,Pharmacy
OUT_00223,small,0.0,Grocery
OUT_00224,Large,3.0,SMMT
OUT_00225,Medium,1.0,Eatery
OUT_00226,small,1.0,Pharmacy
OUT_00227,small,2.0,Hotel
OUT_00228,small,0.0,Bakery
OUT_00229,small,1.0,Bakery
OUT_00230,small,0.0,Eatery
OUT_00231,Large,2.0,Grocery
OUT_00232,Medium,2.0,Bakery
OUT_00233,Large,2.0,Pharmacy
OUT_00234,small,0.0,Hotel
OUT_00235,small,0.0,Kiosk
OUT_00236,small,1.0,Eatery
OUT_00237,Large,3.0,Kiosk
OUT_00238,small,0.0,Bakery
OUT_00239,small,0.0,Hotel
OUT_00240,small,0.0,Eatery
OUT_00241,Medium,2.0,Kiosk
OUT_00242,small,1.0,Grocery
OUT_00243,small,1.0,Pharmacy
OUT_00244,small,1.0,SMMT
OUT_00245,small,1.0,Eatery
OUT_00246,Extra Large,2.0,Bakery
OUT_00247,Large,4.0,Kiosk
OUT_00248,small,1.0,Pharmacy
OUT_00249,Large,2.0,Bakery
OUT_00250,Extra Large,2.0,Eatery
OUT_00251,small,1.0,Kiosk
OUT_00252,Extra Large,3.0,Grocery
OUT_00253,small,0.0,SMMT
OUT_00254,Large,3.0,Bakery
OUT_00255,small,0.0,Kiosk
OUT_00256,small,0.0,Hotel
OUT_00257,Extra Large,2.0,Hotel
OUT_00258,Extra Large,3.0,Bakery
OUT_00259,Large,4.0,Pharmacy
OUT_00260,Medium,1.0,Pharmacy
OUT_00261,Medium,2.0,Kiosk
OUT_00262,small,0.0,Bakery
OUT_00263,Medium,2.0,Eatery
OUT_00264,Medium,2.0,Bakery
OUT_00265,Large,4.0,SMMT
OUT_00266,Medium,2.0,Pharmacy
OUT_00267,Large,5.0,Pharmacy
OUT_00268,small,0.0,Pharmacy
OUT_00269,Medium,1.0,Hotel
OUT_00270,small,0.0,SMMT
OUT_00271,small,0.0,Hotel
OUT_00272,small,0.0,Hotel
OUT_00273,Large,2.0,Pharmacy
OUT_00274,small,0.0,Kiosk
OUT_00275,Medium,2.0,Eatery
OUT_00276,Medium,2.0,Pharmacy
OUT_00277,Large,5.0,Bakery
OUT_00278,small,1.0,Kiosk
OUT_00279,Extra Large,4.0,Hotel
OUT_00280,small,0.0,Pharmacy
OUT_00281,small,0.0,Grocery
OUT_00282,small,0.0,Kiosk
OUT_00283,small,1.0,Pharmacy
OUT_00284,Medium,1.0,Grocery
OUT_00285,small,0.0,Kiosk
OUT_00286,Medium,1.0,Grocery
OUT_00287,small,5.0,Bakery
OUT_00288,small,0.0,Eatery
OUT_00289,small,0.0,Grocery
OUT_00290,small,0.0,Bakery
OUT_00291,Extra Large,4.0,SMMT
OUT_00292,small,2.0,SMMT
OUT_00293,small,0.0,Eatery
OUT_00294,small,1.0,Pharmacy
OUT_00295,Large,3.0,Pharmacy
OUT_00296,Medium,2.0,Bakery
OUT_00297,Medium,1.0,Pharmacy
OUT_00298,small,0.0,Pharmacy
OUT_00299,Large,2.0,Hotel
OUT_00300,small,0.0,Pharmacy
OUT_00301,Medium,1.0,Hotel
OUT_00302,Medium,1.0,Bakery
OUT_00303,Medium,2.0,Grocery
OUT_00304,small,0.0,Bakery
OUT_00305,Medium,1.0,Bakery
OUT_00306,small,0.0,Eatery
OUT_00307,small,0.0,Bakery
OUT_00308,Medium,1.0,Hotel
OUT_00309,small,1.0,Kiosk
OUT_00310,small,0.0,Pharmacy
OUT_00311,small,1.0,Bakery
OUT_00312,Medium,1.0,Hotel
OUT_00313,small,1.0,SMMT
OUT_00314,Medium,2.0,Kiosk
OUT_00315,Medium,2.0,Hotel
OUT_00316,Medium,1.0,Pharmacy
OUT_00317,small,2.0,Grocery
OUT_00318,small,1.0,Eatery
OUT_00319,Medium,2.0,Bakery
OUT_00320,small,0.0,Kiosk
OUT_00321,small,0.0,Bakery
OUT_00322,small,0.0,Grocery
OUT_00323,Medium,2.0,Bakery
OUT_00324,Medium,1.0,Kiosk
OUT_00325,Medium,1.0,Hotel
OUT_00326,Medium,1.0,Grocery
OUT_00327,Medium,2.0,Kiosk
OUT_00328,small,0.0,Bakery
OUT_00329,small,0.0,Kiosk
OUT_00330,small,0.0,Pharmacy
OUT_00331,Medium,1.0,Grocery
OUT_00332,small,1.0,Grocery
OUT_00333,Large,2.0,SMMT
OUT_00334,Medium,2.0,Kiosk
OUT_00335,small,1.0,Grocery
OUT_00336,small,0.0,SMMT
OUT_00337,small,0.0,Grocery
OUT_00338,Large,3.0,SMMT
OUT_00339,Extra Large,2.0,Kiosk
OUT_00340,Medium,1.0,Bakery
OUT_00341,Large,5.0,SMMT
OUT_00342,small,0.0,Bakery
OUT_00343,small,2.0,Hotel
OUT_00344,small,1.0,Pharmacy
OUT_00345,Large,2.0,Hotel
OUT_00346,small,0.0,Kiosk
OUT_00347,Large,5.0,Eatery
OUT_00348,small,0.0,SMMT
OUT_00349,small,0.0,Pharmacy
OUT_00350,Extra Large,4.0,Grocery
OUT_00351,small,0.0,Kiosk
OUT_00352,small,0.0,Hotel
OUT_00353,Medium,1.0,Kiosk
OUT_00354,small,0.0,Pharmacy
OUT_00355,small,0.0,Bakery
OUT_00356,Medium,2.0,SMMT
OUT_00357,small,1.0,Eatery
OUT_00358,small,0.0,SMMT
OUT_00359,small,0.0,Kiosk
OUT_00360,small,0.0,Pharmacy
OUT_00361,Extra Large,2.0,Bakery
OUT_00362,small,1.0,Kiosk
OUT_00363,Medium,1.0,Pharmacy
OUT_00364,Medium,1.0,Hotel
OUT_00365,small,0.0,SMMT
OUT_00366,small,1.0,Hotel
OUT_00367,Extra Large,4.0,SMMT
OUT_00368,small,0.0,Eatery
OUT_00369,small,1.0,Grocery
OUT_00370,small,0.0,Pharmacy
OUT_00371,small,1.0,Hotel
OUT_00372,small,1.0,SMMT
OUT_00373,small,0.0,Grocery
OUT_00374,Medium,2.0,Grocery
OUT_00375,Medium,1.0,Pharmacy
OUT_00376,Large,4.0,SMMT
OUT_00377,Medium,2.0,Hotel
OUT_00378,Medium,2.0,Bakery
OUT_00379,Large,2.0,Hotel
OUT_00380,small,1.0,SMMT
OUT_00381,small,1.0,Grocery
OUT_00382,small,0.0,Bakery
OUT_00383,small,0.0,Grocery
OUT_00384,small,1.0,Bakery
OUT_00385,Medium,1.0,Eatery
OUT_00386,Large,3.0,Pharmacy
OUT_00387,Extra Large,2.0,Kiosk
OUT_00388,small,0.0,Eatery
OUT_00389,Large,4.0,Eatery
OUT_00390,small,0.0,Kiosk
OUT_00391,Medium,2.0,Hotel
OUT_00392,Medium,2.0,Pharmacy
OUT_00393,small,1.0,Grocery
OUT_00394,Medium,2.0,Pharmacy
OUT_00395,small,0.0,SMMT
OUT_00396,small,0.0,Bakery
OUT_00397,Medium,1.0,Pharmacy
OUT_00398,Medium,1.0,Pharmacy
OUT_00399,Medium,1.0,Kiosk
OUT_00400,Medium,2.0,Pharmacy
OUT_00401,small,1.0,Eatery
OUT_00402,Large,2.0,Kiosk
OUT_00403,Medium,2.0,Kiosk
OUT_00404,small,1.0,Pharmacy
OUT_00405,Medium,2.0,Grocery
OUT_00406,small,0.0,Bakery
OUT_00407,small,1.0,Eatery
OUT_00408,small,0.0,Kiosk
OUT_00409,Medium,1.0,Bakery
OUT_00410,Medium,1.0,Kiosk
OUT_00411,small,0.0,Pharmacy
OUT_00412,small,1.0,Hotel
OUT_00413,Large,5.0,Grocery
OUT_00414,small,0.0,SMMT
OUT_00415,small,0.0,Bakery
OUT_00416,Medium,2.0,Pharmacy
OUT_00417,Large,5.0,Grocery
OUT_00418,Medium,2.0,Kiosk
OUT_00419,small,0.0,SMMT
OUT_00420,small,0.0,Pharmacy
OUT_00421,Medium,2.0,Kiosk
OUT_00422,Medium,1.0,SMMT
OUT_00423,Large,2.0,Eatery
OUT_00424,Large,3.0,Bakery
OUT_00425,small,0.0,Grocery
OUT_00426,Medium,1.0,Pharmacy
OUT_00427,Medium,1.0,Bakery
OUT_00428,Extra Large,2.0,Kiosk
OUT_00429,Medium,2.0,Bakery
OUT_00430,small,1.0,Kiosk
OUT_00431,small,1.0,Hotel
OUT_00432,Extra Large,4.0,SMMT
OUT_00433,Medium,1.0,Kiosk
OUT_00434,Extra Large,5.0,Bakery
OUT_00435,Medium,2.0,Grocery
OUT_00436,small,0.0,Bakery
OUT_00437,small,0.0,Grocery
OUT_00438,Medium,2.0,Eatery
OUT_00439,Medium,2.0,Bakery
OUT_00440,small,0.0,Eatery
OUT_00441,small,1.0,Kiosk
OUT_00442,small,1.0,SMMT
OUT_00443,Medium,1.0,Pharmacy
OUT_00444,Medium,1.0,Kiosk
OUT_00445,Large,4.0,SMMT
OUT_00446,small,1.0,Pharmacy
OUT_00447,small,0.0,Pharmacy
OUT_00448,small,1.0,Eatery
OUT_00449,Extra Large,4.0,Grocery
OUT_00450,Large,3.0,Pharmacy
OUT_00451,small,0.0,Kiosk
OUT_00452,small,1.0,Grocery
OUT_00453,Medium,2.0,Pharmacy
OUT_00454,Medium,2.0,Grocery
OUT_00455,Extra Large,3.0,Hotel
OUT_00456,Medium,1.0,Hotel
OUT_00457,Large,5.0,Grocery
OUT_00458,small,1.0,Grocery
OUT_00459,Medium,1.0,Pharmacy
OUT_00460,Medium,2.0,Kiosk
OUT_00461,small,0.0,Bakery
OUT_00462,small,1.0,Eatery
OUT_00463,Large,4.0,Kiosk
OUT_00464,small,0.0,Bakery
OUT_00465,Medium,2.0,Grocery
OUT_00466,Large,2.0,Eatery
OUT_00467,small,0.0,Grocery
OUT_00468,Large,2.0,Bakery
OUT_00469,small,1.0,Bakery
OUT_00470,small,0.0,Kiosk
OUT_00471,Medium,2.0,Grocery
OUT_00472,Medium,1.0,Bakery
OUT_00473,small,0.0,Eatery
OUT_00474,small,0.0,Bakery
OUT_00475,small,0.0,SMMT
OUT_00476,Medium,2.0,Bakery
OUT_00477,small,0.0,SMMT
OUT_00478,Medium,1.0,Pharmacy
OUT_00479,small,0.0,Bakery
OUT_00480,small,0.0,Grocery
OUT_00481,small,0.0,Bakery
OUT_00482,Medium,2.0,Eatery
OUT_00483,small,0.0,Grocery
OUT_00484,small,0.0,Kiosk
OUT_00485,Medium,1.0,Grocery
OUT_00486,Medium,2.0,Kiosk
OUT_00487,small,0.0,Pharmacy
OUT_00488,small,0.0,Hotel
OUT_00489,Medium,1.0,Kiosk
OUT_00490,small,0.0,Eatery
OUT_00491,small,1.0,Hotel
OUT_00492,Large,5.0,Eatery
OUT_00493,Medium,2.0,Kiosk
OUT_00494,small,1.0,Grocery
OUT_00495,small,1.0,Bakery
OUT_00496,small,0.0,SMMT
OUT_00497,Medium,1.0,Kiosk
OUT_00498,Medium,1.0,Kiosk
OUT_00499,Medium,1.0,Eatery
OUT_00500,small,0.0,Bakery
OUT_00501,Medium,1.0,SMMT
OUT_00502,Medium,1.0,Grocery
OUT_00503,Large,2.0,Bakery
OUT_00504,Medium,2.0,Kiosk
OUT_00505,small,0.0,Grocery
OUT_00506,Extra Large,3.0,Kiosk
OUT_00507,Extra Large,5.0,SMMT
OUT_00508,Medium,1.0,Bakery
OUT_00509,Medium,2.0,Hotel
OUT_00510,Medium,1.0,Grocery
OUT_00511,Medium,2.0,Eatery
OUT_00513,small,0.0,Bakery
OUT_00514,small,0.0,Hotel
OUT_00515,Large,3.0,SMMT
OUT_00516,small,0.0,SMMT
OUT_00517,Medium,1.0,Hotel
OUT_00518,Medium,2.0,Eatery
OUT_00519,small,0.0,Eatery
OUT_00520,small,1.0,Bakery
OUT_00521,small,0.0,SMMT
OUT_00522,small,0.0,Bakery
OUT_00523,small,1.0,Pharmacy
OUT_00524,small,0.0,Pharmacy
OUT_00525,Large,3.0,Pharmacy
OUT_00526,Medium,2.0,Eatery
OUT_00527,Medium,1.0,Grocery
OUT_00528,Medium,2.0,Eatery
OUT_00529,Medium,2.0,Grocery
OUT_00530,Large,2.0,Grocery
OUT_00531,small,1.0,SMMT
OUT_00532,small,1.0,Hotel
OUT_00533,small,0.0,SMMT
OUT_00534,Large,2.0,Grocery
OUT_00536,small,0.0,SMMT
OUT_00537,small,0.0,Bakery
OUT_00538,small,0.0,Kiosk
OUT_00539,Large,3.0,Pharmacy
OUT_00540,small,0.0,SMMT
OUT_00541,Medium,1.0,Kiosk
OUT_00542,small,0.0,Grocery
OUT_00543,small,1.0,Pharmacy
OUT_00544,small,0.0,Eatery
OUT_00545,Medium,2.0,Kiosk
OUT_00546,Medium,2.0,Grocery
OUT_00547,small,0.0,Kiosk
OUT_00548,small,0.0,Hotel
OUT_00549,small,1.0,SMMT
OUT_00550,Medium,1.0,SMMT
OUT_00551,Large,4.0,Grocery
OUT_00552,small,0.0,Eatery
OUT_00553,Medium,1.0,Kiosk
OUT_00554,small,0.0,Kiosk
OUT_00555,small,0.0,Grocery
OUT_00556,Medium,1.0,Bakery
OUT_00557,small,0.0,Grocery
OUT_00558,small,1.0,Grocery
OUT_00559,small,0.0,Bakery
OUT_00560,Medium,1.0,Hotel
OUT_00561,small,1.0,Eatery
OUT_00562,small,0.0,Hotel
OUT_00563,small,1.0,Eatery
OUT_00564,small,0.0,Kiosk
OUT_00565,Medium,2.0,Bakery
OUT_00566,small,0.0,Eatery
OUT_00567,Large,3.0,Grocery
OUT_00568,Extra Large,5.0,Hotel
OUT_00569,small,0.0,Grocery
OUT_00570,Large,5.0,Grocery
OUT_00572,small,0.0,Grocery
OUT_00573,Large,3.0,SMMT
OUT_00574,Medium,1.0,Bakery
OUT_00575,small,0.0,Eatery
OUT_00576,Medium,1.0,Eatery
OUT_00577,Large,5.0,Kiosk
OUT_00578,small,0.0,Grocery
OUT_00579,Extra Large,2.0,Bakery
OUT_00580,Large,2.0,Kiosk
OUT_00581,Large,2.0,Pharmacy
OUT_00582,Medium,1.0,Hotel
OUT_00583,small,0.0,Bakery
OUT_00584,small,0.0,Bakery
OUT_00585,Medium,2.0,Eatery
OUT_00586,Medium,2.0,Kiosk
OUT_00587,Medium,1.0,Grocery
OUT_00588,small,1.0,SMMT
OUT_00589,Large,3.0,SMMT
OUT_00590,Medium,1.0,Grocery
OUT_00591,Large,2.0,Grocery
OUT_00592,small,1.0,Pharmacy
OUT_00593,small,0.0,Grocery
OUT_00594,Medium,1.0,Eatery
OUT_00595,Medium,2.0,Grocery
OUT_00596,small,1.0,Hotel
OUT_00597,small,1.0,SMMT
OUT_00598,small,1.0,SMMT
OUT_00599,small,1.0,Hotel
OUT_00600,Large,4.0,Grocery
OUT_00601,Medium,1.0,Bakery
OUT_00602,small,1.0,Bakery
OUT_00603,Large,4.0,Kiosk
OUT_00604,Medium,1.0,Bakery
OUT_00605,small,1.0,Pharmacy
OUT_00606,Large,2.0,Kiosk
OUT_00607,Large,4.0,Grocery
OUT_00608,Medium,2.0,SMMT
OUT_00609,Medium,2.0,Hotel
OUT_00610,Large,2.0,Grocery
OUT_00611,small,0.0,Grocery
OUT_00612,small,0.0,Grocery
OUT_00613,small,1.0,Bakery
OUT_00614,Large,2.0,Grocery
OUT_00615,small,1.0,Hotel
OUT_00616,Medium,1.0,Grocery
OUT_00617,Medium,2.0,Grocery
OUT_00618,Medium,2.0,Bakery
OUT_00619,Extra Large,4.0,Grocery
OUT_00620,Medium,2.0,Hotel
OUT_00621,Medium,1.0,Bakery
OUT_00622,small,0.0,Hotel
OUT_00623,small,1.0,Pharmacy
OUT_00624,Medium,2.0,Grocery
OUT_00625,Medium,1.0,Grocery
OUT_00626,Large,3.0,Pharmacy
OUT_00627,Medium,2.0,Bakery
OUT_00628,small,0.0,Hotel
OUT_00629,Medium,1.0,Bakery
OUT_00630,small,0.0,SMMT
OUT_00631,small,0.0,Bakery
OUT_00632,small,0.0,Grocery
OUT_00633,Large,3.0,SMMT
OUT_00634,Medium,1.0,Eatery
OUT_00635,Medium,1.0,Pharmacy
OUT_00636,Medium,1.0,Grocery
OUT_00637,Medium,2.0,Bakery
OUT_00638,Medium,2.0,Eatery
OUT_00639,Large,5.0,Eatery
OUT_00640,Medium,1.0,Kiosk
OUT_00641,small,1.0,SMMT
OUT_00642,Medium,1.0,Pharmacy
OUT_00643,Medium,2.0,Hotel
OUT_00644,Medium,1.0,Kiosk
OUT_00645,Medium,1.0,Grocery
OUT_00646,small,3.0,SMMT
OUT_00647,small,0.0,Grocery
OUT_00648,Medium,1.0,SMMT
OUT_00649,Large,5.0,SMMT
OUT_00650,Medium,1.0,SMMT
OUT_00651,small,0.0,Hotel
OUT_00652,Medium,2.0,Eatery
OUT_00653,small,0.0,Eatery
OUT_00654,small,0.0,Grocery
OUT_00655,small,0.0,Bakery
OUT_00656,Medium,1.0,Grocery
OUT_00657,small,1.0,Hotel
OUT_00658,Medium,1.0,SMMT
OUT_00659,small,0.0,Eatery
OUT_00660,Large,4.0,Eatery
OUT_00661,Medium,1.0,Grocery
OUT_00662,Medium,2.0,Eatery
OUT_00663,Medium,1.0,Hotel
OUT_00664,small,0.0,SMMT
OUT_00665,small,0.0,Grocery
OUT_00666,Large,5.0,Eatery
OUT_00667,Medium,2.0,SMMT
OUT_00668,small,0.0,Pharmacy
OUT_00669,small,0.0,Bakery
OUT_00670,Medium,2.0,Bakery
OUT_00671,Medium,1.0,Pharmacy
OUT_00672,small,0.0,Eatery
OUT_00673,Medium,1.0,Eatery
OUT_00674,Large,3.0,Bakery
OUT_00675,small,0.0,SMMT
OUT_00676,small,0.0,Hotel
OUT_00677,Medium,2.0,Eatery
OUT_00678,small,0.0,Bakery
OUT_00679,small,1.0,Kiosk
OUT_00680,Medium,2.0,Bakery
OUT_00681,small,0.0,SMMT
OUT_00682,small,0.0,Kiosk
OUT_00683,Medium,2.0,Eatery
OUT_00684,Extra Large,5.0,Kiosk
OUT_00685,small,0.0,SMMT
OUT_00686,Large,5.0,Pharmacy
OUT_00687,Large,5.0,SMMT
OUT_00688,small,1.0,Grocery
OUT_00689,Extra Large,4.0,Hotel
OUT_00690,small,0.0,SMMT
OUT_00691,Extra Large,4.0,Bakery
OUT_00692,small,0.0,Bakery
OUT_00693,Medium,2.0,SMMT
OUT_00694,Large,2.0,Hotel
OUT_00695,small,1.0,Bakery
OUT_00696,small,0.0,Bakery
OUT_00697,Medium,1.0,Bakery
OUT_00698,Large,5.0,Pharmacy
OUT_00699,Large,4.0,Eatery
OUT_00700,small,0.0,Grocery
OUT_00701,small,0.0,SMMT
OUT_00702,small,0.0,Hotel
OUT_00703,Medium,1.0,Bakery
OUT_00704,Medium,2.0,Bakery
OUT_00705,small,0.0,Pharmacy
OUT_00706,Medium,2.0,Bakery
OUT_00707,small,0.0,Kiosk
OUT_00708,small,1.0,SMMT
OUT_00709,small,1.0,Bakery
OUT_00710,Medium,1.0,Grocery
OUT_00711,small,0.0,Hotel
OUT_00712,Large,4.0,Pharmacy
OUT_00713,small,0.0,Pharmacy
OUT_00714,small,1.0,Pharmacy
OUT_00715,Medium,2.0,Hotel
OUT_00716,small,0.0,Hotel
OUT_00717,Large,3.0,Pharmacy
OUT_00718,small,1.0,Bakery
OUT_00719,small,1.0,Pharmacy
OUT_00720,Large,2.0,SMMT
OUT_00721,small,0.0,Grocery
OUT_00722,Medium,2.0,Grocery
OUT_00723,small,0.0,Grocery
OUT_00724,small,1.0,SMMT
OUT_00725,small,1.0,SMMT
OUT_00726,Large,2.0,Grocery
